lItemID	lItemXRefID	lLogonID	lStatusID	dtCreated	dtModified
5805987	5805566	23591	0	2019-08-05 12:47:00	2019-08-05 12:47:00
5805986	5805538	23591	0	2019-08-05 12:46:00	2019-08-05 12:46:00
5805985	5686452	23591	0	2019-08-05 12:45:00	2019-08-05 12:45:00
5805984	5688305	23591	0	2019-08-05 12:43:00	2019-08-05 12:43:00
5805983	65082	23591	0	2019-08-05 12:41:00	2019-08-05 12:41:00
5805982	4448480	23591	0	2019-08-05 12:37:00	2019-08-05 12:37:00
5805981	57895	23591	0	2019-08-05 12:35:00	2019-08-05 12:35:00
5805980	5641436	23591	0	2019-08-05 12:30:00	2019-08-05 12:30:00
5805979	1455922	23591	0	2019-08-05 12:26:00	2019-08-05 12:26:00
5805978	3231668	22958	0	2019-08-05 12:24:00	2019-08-05 12:24:00
5805977	5533920	23591	0	2019-08-05 12:22:00	2019-08-05 12:22:00
5805976	1512513	22958	0	2019-08-05 12:21:00	2019-08-05 12:21:00
5805975	61757	23591	0	2019-08-05 12:18:00	2019-08-05 12:18:00
5805974	57872	23591	0	2019-08-05 12:16:00	2019-08-05 12:16:00
5805973	5760224	22958	0	2019-08-05 12:16:00	2019-08-05 12:16:00
5805972	5748900	23591	0	2019-08-05 12:11:00	2019-08-05 12:11:00
5805970	5635807	22958	0	2019-08-05 12:11:00	2019-08-05 12:11:00
5805969	5804992	23591	0	2019-08-05 12:09:00	2019-08-05 12:09:00
5805968	63633	23591	0	2019-08-05 11:59:00	2019-08-05 11:59:00
5805967	63632	23591	0	2019-08-05 11:58:00	2019-08-05 11:58:00
5805966	63193	22958	0	2019-08-05 11:57:00	2019-08-05 11:57:00
5805965	5756108	22958	0	2019-08-05 11:54:00	2019-08-05 11:54:00
5805964	5804987	23591	0	2019-08-05 11:39:00	2019-08-05 11:39:00
5805963	1080693	22958	0	2019-08-05 11:38:00	2019-08-05 11:38:00
5805962	5802611	22958	0	2019-08-05 11:36:00	2019-08-05 11:36:00
5805961	5804977	23591	0	2019-08-05 11:35:00	2019-08-05 11:35:00
5805960	5776079	23591	0	2019-08-05 11:33:00	2019-08-05 11:33:00
5805959	5766134	22958	0	2019-08-05 11:33:00	2019-08-05 11:33:00
5805959	5768119	22958	0	2019-08-05 12:01:00	2019-08-05 12:01:00
5805958	5698610	23591	0	2019-08-05 11:30:00	2019-08-05 11:30:00
5805957	5698478	23591	0	2019-08-05 11:30:00	2019-08-05 11:30:00
5805956	5698477	23591	0	2019-08-05 11:29:00	2019-08-05 11:29:00
5805955	5697784	23591	0	2019-08-05 11:28:00	2019-08-05 11:28:00
5805954	5697783	23591	0	2019-08-05 11:27:00	2019-08-05 11:27:00
5805953	3523598	23591	0	2019-08-05 11:25:00	2019-08-05 11:25:00
5805952	3411422	23591	0	2019-08-05 11:23:00	2019-08-05 11:23:00
5805951	5805544	23591	0	2019-08-05 10:06:00	2019-08-05 10:06:00
5805950	3324868	23591	0	2019-08-05 09:59:00	2019-08-05 09:59:00
5805949	327186	22958	0	2019-08-05 09:58:00	2019-08-05 09:58:00
5805948	5520004	23591	0	2019-08-05 09:57:00	2019-08-05 09:57:00
5805947	1004314	23591	0	2019-08-05 09:55:00	2019-08-05 09:55:00
5805946	59619	23591	0	2019-08-05 09:53:00	2019-08-05 09:53:00
5805945	59820	23591	0	2019-08-05 09:51:00	2019-08-05 09:51:00
5805944	5356964	23591	0	2019-08-05 09:31:00	2019-08-05 09:31:00
5805943	4645683	23591	0	2019-08-05 09:19:00	2019-08-05 09:19:00
5805942	3928894	23591	0	2019-08-05 09:16:00	2019-08-05 09:16:00
5805941	2459305	23591	0	2019-08-05 09:14:00	2019-08-05 09:14:00
5805940	5298115	23591	0	2019-08-05 09:12:00	2019-08-05 09:12:00
5805939	5391728	23591	0	2019-08-05 09:10:00	2019-08-05 09:10:00
5805938	3534408	23591	0	2019-08-05 09:08:00	2019-08-05 09:08:00
5805937	60724	22958	0	2019-08-05 09:06:00	2019-08-05 09:06:00
5805936	5526449	23591	0	2019-08-05 09:06:00	2019-08-05 09:06:00
5805935	5159550	22958	0	2019-08-05 09:01:00	2019-08-05 09:01:00
5805934	5419297	23591	0	2019-08-05 09:01:00	2019-08-05 09:01:00
5805933	4237576	23591	0	2019-08-05 08:59:00	2019-08-05 08:59:00
5805932	4862618	23591	0	2019-08-05 08:57:00	2019-08-05 08:57:00
5805931	4648732	23591	0	2019-08-05 08:50:00	2019-08-05 08:50:00
5805930	3628103	23591	0	2019-08-05 08:46:00	2019-08-05 08:46:00
5805929	1029427	23591	0	2019-08-05 08:45:00	2019-08-05 08:45:00
5805928	5802317	22958	0	2019-08-05 08:45:00	2019-08-05 08:45:00
5805927	5531322	23591	0	2019-08-05 08:42:00	2019-08-05 08:42:00
5805926	1820674	23591	0	2019-08-05 08:39:00	2019-08-05 08:39:00
5805925	5213728	23591	0	2019-08-05 08:36:00	2019-08-05 08:36:00
5805924	3531512	22958	0	2019-08-05 08:32:00	2019-08-05 08:32:00
5805923	5805790	22958	0	2019-08-05 08:25:00	2019-08-05 08:25:00
